Tue May 10 17:22:06 2016 ------- Test Case r009.pl.pl Started -------
*** 2016-05-10 17:24:31 'r009.pl' 283 - findStringOnPanel "ASG2172I STEP_VALUE=-4" Passed ***
*** 2016-05-10 17:24:31 'r009.pl' 286 - write2CommandLine "SET DELAY 2" Passed ***
*** 2016-05-10 17:24:31 'r009.pl' 287 - findStringOnPanel "DELAY TIME SET " Passed ***
*** 2016-05-10 17:24:48 'r009.pl' 290 - write2CommandLine "STEP 9 AUTO" Passed ***
*** 2016-05-10 17:24:48 'r009.pl' 291 - findStringOnPanel ">>>>>>       STEP_VALUE = STEP_VALUE + 1; " Passed ***
*** 2016-05-10 17:24:48 'r009.pl' 292 - findStringOnPanel "ASG2172I STEP_VALUE=+0" Passed ***
*** 2016-05-10 17:24:48 'r009.pl' 295 - write2CommandLine "F 'STEP_VALUE = STEP_VALUE - 1'" Passed ***
*** 2016-05-10 17:24:48 'r009.pl' 296 - findStringOnPanel "STEP_VALUE = STEP_VALUE - 1; " Passed ***
*** 2016-05-10 17:24:48 'r009.pl' 299 - write2CommandLine "RUN TO" Passed ***
*** 2016-05-10 17:24:48 'r009.pl' 301 - findStringOnPanel "STEP_VALUE = STEP_VALUE - 1; " Passed ***
*** 2016-05-10 17:24:48 'r009.pl' 302 - pressKey "[ENTER]" Passed ***
*** 2016-05-10 17:24:48 'r009.pl' 305 - write2CommandLine "RUN" Passed ***
*** 2016-05-10 17:24:51 'r009.pl' 307 - findStringOnPanel ">>>>>>       STEP_SUB   = 2;                    /* PAUSE HERE */" Passed ***
*** 2016-05-10 17:24:51 'r009.pl' 308 - findStringOnPanel "ASG2172I STEP_SUB=-4 " Passed ***
*** 2016-05-10 17:24:51 'r009.pl' 311 - write2CommandLine "STEP LABEL" Passed ***
*** 2016-05-10 17:24:51 'r009.pl' 312 - findStringOnPanel ">>>>>>    STEP_PROC_SUBROUTINE: PROC" Passed ***
*** 2016-05-10 17:24:56 'r009.pl' 315 - write2CommandLine "STEP 3 LABEL AUTO" Passed ***
*** 2016-05-10 17:24:56 'r009.pl' 316 - findStringOnPanel ">>>>>>    STEP_PROC_SUB4: PROC; " Passed ***
*** 2016-05-10 17:24:56 'r009.pl' 317 - findStringOnPanel "ASG2163I STEP 3 OF 3 EXECUTED." Passed ***
*** 2016-05-10 17:24:56 'r009.pl' 320 - write2CommandLine "SET DEFAULTS;RUN" Passed ***
*** 2016-05-10 17:24:59 'r009.pl' 322 - findStringOnPanel ">>>>>>       STOP_PAYEE = 1;                    /* PAUSE HERE */" Passed ***
*** 2016-05-10 17:24:59 'r009.pl' 325 - write2CommandLine "STOP STOP_PAY_TOTAL" Passed ***
*** 2016-05-10 17:24:59 'r009.pl' 326 - findStringOnPanel "ASG2324I ADDRESS STOP AT " Passed ***
*** 2016-05-10 17:24:59 'r009.pl' 327 - findStringOnPanel "FOR A LENGTH OF 12 HAS BEEN ASSIGNED." Passed ***
*** 2016-05-10 17:24:59 'r009.pl' 330 - write2CommandLine "LIST ADSTOP" Passed ***
*** 2016-05-10 17:25:00 'r009.pl' 331 - verifyPanelMask Address-Stop-Entry.txt Passed ***
*** 2016-05-10 17:25:00 'r009.pl' 333 - pressKey "[F3]" Passed ***
*** 2016-05-10 17:25:01 'r009.pl' 336 - write2CommandLine "RUN" Passed ***
*** 2016-05-10 17:25:04 'r009.pl' 338 - findStringOnPanel "STATUS: STOPPED BEFORE ADDRESS MODIFIED" Passed ***
*** 2016-05-10 17:25:04 'r009.pl' 342 - write2CommandLine "RUN" Passed ***
*** 2016-05-10 17:25:07 'r009.pl' 344 - findStringOnPanel "STATUS: STOPPED BEFORE ADDRESS MODIFIED" Passed ***
*** 2016-05-10 17:25:08 'r009.pl' 345 - write2CommandLine "RUN" Passed ***
*** 2016-05-10 17:25:11 'r009.pl' 347 - findStringOnPanel "STATUS: STOPPED BEFORE ADDRESS MODIFIED" Passed ***
